Description,Gross Mass Measure Unit Code,Net Weight Measure,Item Charge Amount,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Commodity Code,Freight Payment Code,CMR,Consignee Short Name,Consignor Short Name,Sequence Numeric,Statistical Value Amount,Transaction Nature Code,Description,Gross Mass Measure,Gross Mass Measure Unit Code,Net Weight Measure,Tariff Quantity,Tariff Quantity Unit Code,Item Charge Amount,Customs Valuation Method Code,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Cus Code,Invoice Number,Commodity Code,Preference,Section,VVA under-calculation,VVA over-calculation,VatValue,VATRate,Customs Value,DTF.Duty.Amount,DTF.Duty.Type,DTF.Duty.Rate,DTF.Duty.Base,DTF.Duty.Relieved,DTF.VAT.Amount,DTF.VAT.Type,DTF.VAT.Rate,DTF.VAT.Base
GARMENTS,,5.832,183.82,BD,BD,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,52,184.77,,GARMENTS,7.596,,5.832,24,,183.82,1,BD,BD,0,,,5100,106193773,6109902000,200,XI,0.00,438.41,,,183.82,7.35,Duty,0.04,,0,36.764,,,
GARMENTS,,2.056,128.84,BD,BD,0,,,6110119000,,,FASHION COMP WHOLESA,FASHION COMP A/S,53,129.51,,GARMENTS,2.48,,2.056,8,,128.84,1,BD,BD,0,,,5100,106193773,6110119000,200,XI,0.00,419.49,,,128.84,7.73,Duty,0.06,,0,25.768,,,
GARMENTS,,1.848,186.17,BD,BD,0,,,6110199090,,,FASHION COMP WHOLESA,FASHION COMP A/S,54,187.14,,GARMENTS,2.352,,1.848,8,,186.17,1,BD,BD,0,,,5100,106198166,6110199090,200,XI,205.73,0.00,,,186.17,7.45,Duty,0.04,,0,37.234,,,
GARMENTS,,4.512,184.6,BD,BD,0,,,6110201000,,,FASHION COMP WHOLESA,FASHION COMP A/S,55,185.56,,GARMENTS,5.496,,4.512,24,,184.6,1,BD,BD,0,,,5100,106193765,6110201000,200,XI,0.00,268.22,,,184.6,11.08,Duty,0.06,,0,36.92,,,
GARMENTS,,47.828,928.28,BD,BD,0,,,6110209100,,,FASHION COMP WHOLESA,FASHION COMP A/S,56,933.09,,GARMENTS,53.888,,47.828,127,,928.28,1,BD,BD,0,,,4000,106193769,6110209100,200,XI,124.52,0.00,,,928.28,55.70,Duty,0.06,,55.70,185.656,,,
GARMENTS,,35.192,899.7,BD,BD,0,,,6110209900,,,FASHION COMP WHOLESA,FASHION COMP A/S,57,904.36,,GARMENTS,40.76,,35.192,136,,899.7,1,BD,BD,0,,,4000,106193765,6110209900,200,XI,100.48,0.00,,,899.7,44.99,Duty,0.05,,44.99,179.94,,,
GARMENTS,,33.172,557.4,BD,BD,0,,,6110309100,,,FASHION COMP WHOLESA,FASHION COMP A/S,58,560.29,,GARMENTS,36.257,,33.172,54,,557.4,1,BD,BD,0,,,4000,106193768,6110309100,200,XI,194.82,0.00,,,557.4,16.72,Duty,0.03,,16.72,111.48,,,
GARMENTS,,102.681,2867.15,BD,BD,0,,,6110309900,,,FASHION COMP WHOLESA,FASHION COMP A/S,59,2882.02,,GARMENTS,123.039,,102.681,334,,2867.15,1,BD,BD,0,,,4000,106193772,6110309900,200,XI,174.45,0.00,,,2867.15,143.36,Duty,0.05,,143.36,573.43,,,
GARMENTS,,19.896,1204.42,BD,BD,0,,,6111209000,,,FASHION COMP WHOLESA,FASHION COMP A/S,60,1210.66,,GARMENTS,26.628,,19.896,204,,1204.42,1,BD,BD,0,,,4000,106193767,6111209000,200,XI,0.00,219.90,,,1204.42,36.13,Duty,0.03,,36.13,240.884,,,
GARMENTS,,6.36,146.22,BD,BD,0,,,6114200000,,,FASHION COMP WHOLESA,FASHION COMP A/S,61,146.98,,GARMENTS,7.368,,6.36,24,,146.22,1,BD,BD,0,,,5100,106193765,6114200000,200,XI,169.08,0.00,,,146.22,2.92,Duty,0.02,,0,29.244,,,
GARMENTS,,0.76,14.65,BD,,0,,,6201301099,,,FASHION COMP WHOLESA,FASHION COMP A/S,62,14.73,,GARMENTS,0.83,,0.76,1,,14.65,1,BD,,0,,,5100,106193768,6201301099,100,XI,166.83,0.00,,,14.65,0.00,,,,0,2.93,,,
GARMENTS,,0.94,15.83,BD,BD,0,,,6201309099,,,FASHION COMP WHOLESA,FASHION COMP A/S,63,15.91,,GARMENTS,1.025,,0.94,1,,15.83,1,BD,BD,0,,,5100,106193768,6201309099,200,XI,245.18,0.00,,,15.83,0.47,Duty,0.03,,0,3.166,,,
GARMENTS,,5.62,209.97,BD,BD,0,,,6203120000,,,FASHION COMP WHOLESA,FASHION COMP A/S,64,211.06,,GARMENTS,6.34,,5.62,5,,209.97,1,BD,BD,0,,,5100,106193768,6203120000,200,XI,131.44,0.00,,,209.97,4.20,Duty,0.02,,0,41.994,,,
GARMENTS,,45.235,684.55,BD,BD,0,,,6203423100,,,FASHION COMP WHOLESA,FASHION COMP A/S,65,688.1,,GARMENTS,49.508,,45.235,75,,684.55,1,BD,BD,0,,,5100,106193768,6203423100,200,XI,152.71,0.00,,,684.55,27.38,Duty,0.04,,0,136.91,,,
GARMENTS,,28.341,566.98,BD,BD,0,,,6203423500,,,FASHION COMP WHOLESA,FASHION COMP A/S,66,569.92,,GARMENTS,31.427,,28.341,46,,566.98,1,BD,BD,0,,,4000,106193768,6203423500,200,XI,247.71,0.00,,,566.98,17.01,Duty,0.03,,17.01,113.396,,,
GARMENTS,,14.417,338.55,BD,BD,0,,,6203429000,,,FASHION COMP WHOLESA,FASHION COMP A/S,67,340.31,,GARMENTS,15.725,,14.417,32,,338.55,1,BD,BD,0,,,4000,106193768,6203429000,200,XI,0.00,341.42,,,338.55,10.16,Duty,0.03,,10.16,67.71,,,
GARMENTS,,3.315,71.8,BD,BD,0,,,6203431900,,,FASHION COMP WHOLESA,FASHION COMP A/S,68,72.17,,GARMENTS,3.766,,3.315,8,,71.8,1,BD,BD,0,,,4000,106193768,6203431900,200,XI,0.00,297.95,,,71.8,3.59,Duty,0.05,,3.59,14.36,,,
GARMENTS,,8.1,180.32,BD,BD,0,,,6204420090,,,FASHION COMP WHOLESA,FASHION COMP A/S,69,181.25,,GARMENTS,8.4,,8.1,15,,180.32,1,BD,BD,0,,,4000,106198164,6204420090,200,XI,0.00,329.07,,,180.32,3.61,Duty,0.02,,3.61,36.064,,,
GARMENTS,,2.255,39.02,BD,BD,0,,,6204623190,,,FASHION COMP WHOLESA,FASHION COMP A/S,70,39.22,,GARMENTS,2.493,,2.255,4,,39.02,1,BD,BD,0,,,4000,106193768,6204623190,200,XI,0.00,310.75,,,39.02,1.95,Duty,0.05,,1.95,7.804,,,
GARMENTS,,0.395,8.2,BD,BD,0,,,6204691890,,,FASHION COMP WHOLESA,FASHION COMP A/S,71,8.24,,GARMENTS,0.445,,0.395,1,,8.2,1,BD,BD,0,,,5100,106193774,6204691890,200,XI,215.83,0.00,,,8.2,0.41,Duty,0.05,,0,1.64,,,
GARMENTS,,2.505,98.4,BD,BD,0,,,6204695090,,,FASHION COMP WHOLESA,FASHION COMP A/S,72,98.91,,GARMENTS,3.315,,2.505,15,,98.4,1,BD,BD,0,,,5100,106198164,6204695090,200,XI,113.13,0.00,,,98.4,3.94,Duty,0.04,,0,19.68,,,
GARMENTS,,60.992,2228.72,BD,BD,0,,,6205200090,,,FASHION COMP WHOLESA,FASHION COMP A/S,73,2240.28,,GARMENTS,71.815,,60.992,221,,2228.72,1,BD,BD,0,,,5100,106193773,6205200090,200,XI,0.00,306.02,,,2228.72,44.57,Duty,0.02,,0,445.744,,,
GARMENTS,,32.984,1710.98,BD,BD,0,,,6206300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,74,1719.85,,GARMENTS,40.756,,32.984,116,,1710.98,1,BD,BD,0,,,5100,106193772,6206300090,200,XI,0.00,538.33,,,1710.98,68.44,Duty,0.04,,0,342.196,,,
GARMENTS,,8.266,300.44,BD,BD,0,,,6211110000,,,FASHION COMP WHOLESA,FASHION COMP A/S,75,302,,GARMENTS,9.416,,8.266,46,,300.44,1,BD,BD,0,,,5100,106193768,6211110000,200,XI,163.38,0.00,,,300.44,6.01,Duty,0.02,,0,60.088,,,
GARMENTS,,8.976,182.04,BD,BD,0,,,6211329000,,,FASHION COMP WHOLESA,FASHION COMP A/S,76,182.98,,GARMENTS,10.992,,8.976,24,,182.04,1,BD,BD,0,,,4000,106198167,6211329000,200,XI,0.00,487.33,,,182.04,9.10,Duty,0.05,,9.10,36.408,,,
GARMENTS,,6.4,262.4,BD,BD,0,,,6211339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,77,263.76,,GARMENTS,8,,6.4,32,,262.4,1,BD,BD,0,,,4000,106193768,6211339000,200,XI,183.83,0.00,,,262.4,5.25,Duty,0.02,,5.25,52.48,,,
GARMENTS,,4.8,170.82,CN,,0,,,4202229090,,,FASHION COMP WHOLESA,FASHION COMP A/S,78,171.71,,GARMENTS,6.408,,4.8,24,,170.82,1,CN,,0,,,4000,106193774,4202229090,100,VIII,196.85,0.00,,,170.82,0.00,,,,0.00,34.164,,,
GARMENTS,,0.242,12.04,CN,,0,,,4203300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,79,12.1,,GARMENTS,0.272,,0.242,2,,12.04,1,CN,,0,,,4000,106193774,4203300090,100,VIII,0.00,223.80,,,12.04,0.00,,,,0.00,2.408,,,
GARMENTS,,6.048,146.03,CN,,0,,,4602900000,,,FASHION COMP WHOLESA,FASHION COMP A/S,80,146.79,,GARMENTS,7.056,,6.048,12,,146.03,1,CN,,0,,,4000,106193774,4602900000,100,IX,0.00,474.98,,,146.03,0.00,,,,0.00,29.206,,,
GARMENTS,,5.565,318.2,IN,IN,0,,,6206300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,81,319.85,,GARMENTS,7.2,,5.565,45,,318.2,1,IN,IN,0,,,5100,106193766,6206300090,200,XI,127.98,0.00,,,318.2,6.36,Duty,0.02,,0,63.64,,,
GARMENTS,,2.94,83.64,KH,KH,0,,,6203429000,,,FASHION COMP WHOLESA,FASHION COMP A/S,82,84.07,,GARMENTS,3.57,,2.94,15,,83.64,1,KH,KH,0,,,5100,106193766,6203429000,200,XI,0.00,269.03,,,83.64,1.67,Duty,0.02,,0,16.728,,,
GARMENTS,,0.365,9.84,KH,KH,0,,,6204691890,,,FASHION COMP WHOLESA,FASHION COMP A/S,83,9.89,,GARMENTS,0.405,,0.365,1,,9.84,1,KH,KH,0,,,5100,106193774,6204691890,200,XI,0.00,259.85,,,9.84,0.49,Duty,0.05,,0,1.968,,,
GARMENTS,,3.74,109.98,MA,,0,,,4203300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,84,110.55,,GARMENTS,4.316,,3.74,28,,109.98,1,MA,,0,,,5100,106193768,4203300090,100,VIII,153.20,0.00,,,109.98,0.00,,,,0,21.996,,,
GARMENTS,,14.82,364.41,MM,MM,0,,,6113009000,,,FASHION COMP WHOLESA,FASHION COMP A/S,85,366.3,,GARMENTS,16.32,,14.82,20,,364.41,1,MM,MM,0,,,5100,106193768,6113009000,200,XI,158.22,0.00,,,364.41,18.22,Duty,0.05,,0,72.882,,,
GARMENTS,,2.752,72.88,MM,MM,0,,,6201401019,,,FASHION COMP WHOLESA,FASHION COMP A/S,86,73.26,,GARMENTS,3.084,,2.752,4,,72.88,1,MM,MM,0,,,4000,106193768,6201401019,200,XI,102.70,0.00,,,72.88,3.64,Duty,0.05,,3.64,14.576,,,
GARMENTS,,1.757,49.64,MM,MM,0,,,6201401090,,,FASHION COMP WHOLESA,FASHION COMP A/S,87,49.9,,GARMENTS,1.99,,1.757,3,,49.64,1,MM,MM,0,,,4000,106193768,6201401090,200,XI,0.00,482.22,,,49.64,1.99,Duty,0.04,,1.99,9.928,,,
GARMENTS,,7.568,173.83,PK,PK,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,88,174.73,,GARMENTS,8.252,,7.568,35,,173.83,1,PK,PK,0,,,4000,106193768,6109100010,200,XI,0.00,344.48,,,173.83,5.21,Duty,0.03,,5.21,34.766,,,
GARMENTS,,1.29,18.55,PK,PK,0,,,6110209100,,,FASHION COMP WHOLESA,FASHION COMP A/S,89,18.65,,GARMENTS,1.49,,1.29,2,,18.55,1,PK,PK,0,,,4000,106193768,6110209100,200,XI,0.00,398.28,,,18.55,0.93,Duty,0.05,,0.93,3.71,,,
GARMENTS,,197.078,3724.76,PK,PK,0,,,6203423100,,,FASHION COMP WHOLESA,FASHION COMP A/S,90,3744.07,,GARMENTS,220.861,,197.078,343,,3724.76,1,PK,PK,0,,,4000,106198165,6203423100,200,XI,192.06,0.00,,,3724.76,74.50,Duty,0.02,,74.50,744.952,,,
GARMENTS,,21.374,519.91,PK,PK,0,,,6203423500,,,FASHION COMP WHOLESA,FASHION COMP A/S,91,522.61,,GARMENTS,23.418,,21.374,49,,519.91,1,PK,PK,0,,,5100,106193768,6203423500,200,XI,0.00,327.51,,,519.91,31.19,Duty,0.06,,0,103.982,,,
GARMENTS,,43.814,980.67,PK,PK,0,,,6203429000,,,FASHION COMP WHOLESA,FASHION COMP A/S,92,985.75,,GARMENTS,49.834,,43.814,130,,980.67,1,PK,PK,0,,,5100,106193761,6203429000,200,XI,105.10,0.00,,,980.67,49.03,Duty,0.05,,0,196.134,,,
GARMENTS,,4.125,98.4,PK,PK,0,,,6204629090,,,FASHION COMP WHOLESA,FASHION COMP A/S,93,98.91,,GARMENTS,5.325,,4.125,15,,98.4,1,PK,PK,0,,,5100,106193766,6204629090,200,XI,166.29,0.00,,,98.4,1.97,Duty,0.02,,0,19.68,,,
GARMENTS,,3.375,131.12,PK,PK,0,,,6211429000,,,FASHION COMP WHOLESA,FASHION COMP A/S,94,131.8,,GARMENTS,4.38,,3.375,15,,131.12,1,PK,PK,0,,,5100,106193774,6211429000,200,XI,181.50,0.00,,,131.12,2.62,Duty,0.02,,0,26.224,,,
GARMENTS,,0.183,6.56,TR,TR,0,,,6104420000,,,FASHION COMP WHOLESA,FASHION COMP A/S,95,6.59,,GARMENTS,0.203,,0.183,1,,6.56,1,TR,TR,0,,,5100,106193774,6104420000,300,XI,0.00,468.88,,,6.56,0.20,Duty,0.03,,0,1.312,,,
GARMENTS,,2.25,131.12,TR,TR,0,,,6104530000,,,FASHION COMP WHOLESA,FASHION COMP A/S,96,131.8,,GARMENTS,3.045,,2.25,15,,131.12,1,TR,TR,0,,,4000,106198164,6104530000,300,XI,173.47,0.00,,,131.12,2.62,Duty,0.02,,2.62,26.224,,,
GARMENTS,,1.33,51.88,TR,TR,0,,,6104630000,,,FASHION COMP WHOLESA,FASHION COMP A/S,97,52.15,,GARMENTS,1.52,,1.33,19,,51.88,1,TR,TR,0,,,4000,106193774,6104630000,300,XI,186.88,0.00,,,51.88,1.04,Duty,0.02,,1.04,10.376,,,
GARMENTS,,3.344,141.2,TR,TR,0,,,6106100000,,,FASHION COMP WHOLESA,FASHION COMP A/S,98,141.93,,GARMENTS,4.16,,3.344,33,,141.2,1,TR,TR,0,,,4000,106193774,6106100000,300,XI,0.00,310.97,,,141.2,5.65,Duty,0.04,,5.65,28.24,,,
GARMENTS,,1,11.48,DK,DK,0,,,4821909000,,,FASHION COMP RETAIL,FASHION COMP A/S,1,181.48,,GARMENTS,1,,1,4,,11.48,1,DK,DK,0,,,4000,106198294,4821909000,300,X,108.80,0.00,,,11.48,0.46,Duty,0.04,,0.46,2.296,,,
GARMENTS,,0.624,17.4,BD,,0,,,6102309000,,,FASHION COMP WHOLESA,FASHION COMP A/S,1,18.21,,GARMENTS,0.644,,0.624,1,,17.4,1,BD,,0,,,4000,106198291,6102309000,100,XI,0.00,309.07,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,1.044,12,BD,,0,,,6103420000,,,FASHION COMP WHOLESA,FASHION COMP A/S,2,12.56,,GARMENTS,1.104,,1.044,3,,12,1,BD,,0,,,5100,106198293,6103420000,100,XI,153.44,0.00,,,12,0.00,,,,0,2.4,,,
GARMENTS,,0.534,8,BD,,0,,,6103490091,,,FASHION COMP WHOLESA,FASHION COMP A/S,3,8.37,,GARMENTS,0.666,,0.534,2,,8,1,BD,,0,,,5100,106198293,6103490091,100,XI,0.00,417.24,,,8,0.00,,,,0,1.6,,,
GARMENTS,,0.971,34.8,BD,,0,,,6104330000,,,FASHION COMP WHOLESA,FASHION COMP A/S,4,36.43,,GARMENTS,1.061,,0.971,3,,34.8,1,BD,,0,,,5100,106198291,6104330000,100,XI,0.00,370.80,,,34.8,0.00,,,,0,6.96,,,
GARMENTS,,0.374,11.6,BD,,0,,,6104420000,,,FASHION COMP WHOLESA,FASHION COMP A/S,5,12.14,,GARMENTS,0.45,,0.374,2,,11.6,1,BD,,0,,,5100,106198291,6104420000,100,XI,0.00,335.09,,,11.6,0.00,,,,0,2.32,,,
GARMENTS,,1.931,29,BD,,0,,,6104430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,6,30.36,,GARMENTS,2.091,,1.931,5,,29,1,BD,,0,,,5100,106198291,6104430000,100,XI,108.03,0.00,,,29,0.00,,,,0,5.8,,,
GARMENTS,,3.24,57.6,BD,,0,,,6104630000,,,FASHION COMP WHOLESA,FASHION COMP A/S,7,60.29,,GARMENTS,3.63,,3.24,9,,57.6,1,BD,,0,,,5100,106198291,6104630000,100,XI,214.36,0.00,,,57.6,0.00,,,,0,11.52,,,
GARMENTS,,1.99,14.5,BD,,0,,,6105100000,,,FASHION COMP WHOLESA,FASHION COMP A/S,8,15.18,,GARMENTS,2.09,,1.99,5,,14.5,1,BD,,0,,,4000,106198293,6105100000,100,XI,0.00,228.51,,,14.5,0.00,,,,0.00,2.9,,,
GARMENTS,,0.333,2.9,BD,,0,,,6105201000,,,FASHION COMP WHOLESA,FASHION COMP A/S,9,3.04,,GARMENTS,0.353,,0.333,1,,2.9,1,BD,,0,,,4000,106198293,6105201000,100,XI,118.54,0.00,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,0.103,2.9,BD,,0,,,6106100000,,,FASHION COMP WHOLESA,FASHION COMP A/S,10,3.04,,GARMENTS,0.123,,0.103,1,,2.9,1,BD,,0,,,4000,106198291,6106100000,100,XI,0.00,448.53,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,28.773,374.1,BD,,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,11,391.6,,GARMENTS,31.487,,28.773,129,,374.1,1,BD,,0,,,4000,106198293,6109100010,100,XI,195.25,0.00,,,374.1,0.00,,,,0.00,74.82,,,
GARMENTS,,1.483,29,BD,,0,,,6109100090,,,FASHION COMP WHOLESA,FASHION COMP A/S,12,30.36,,GARMENTS,1.722,,1.483,10,,29,1,BD,,0,,,4000,106198291,6109100090,100,XI,122.05,0.00,,,29,0.00,,,,0.00,5.8,,,
GARMENTS,,0.159,2.9,BD,,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,13,3.04,,GARMENTS,0.179,,0.159,1,,2.9,1,BD,,0,,,4000,106198291,6109902000,100,XI,130.31,0.00,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,2.802,69.6,BD,,0,,,6110113000,,,FASHION COMP WHOLESA,FASHION COMP A/S,14,72.86,,GARMENTS,2.962,,2.802,8,,69.6,1,BD,,0,,,4000,106198293,6110113000,100,XI,198.14,0.00,,,69.6,0.00,,,,0.00,13.92,,,
GARMENTS,,0.045,2.9,BD,,0,,,6110201000,,,FASHION COMP WHOLESA,FASHION COMP A/S,15,3.04,,GARMENTS,0.065,,0.045,1,,2.9,1,BD,,0,,,4000,106198291,6110201000,100,XI,108.91,0.00,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,34.146,591.6,BD,,0,,,6110209100,,,FASHION COMP WHOLESA,FASHION COMP A/S,16,619.27,,GARMENTS,35.506,,34.146,68,,591.6,1,BD,,0,,,4000,106198293,6110209100,100,XI,0.00,213.61,,,591.6,0.00,,,,0.00,118.32,,,
GARMENTS,,3.703,69.6,BD,,0,,,6110209900,,,FASHION COMP WHOLESA,FASHION COMP A/S,17,72.86,,GARMENTS,3.953,,3.703,8,,69.6,1,BD,,0,,,4000,106198291,6110209900,100,XI,148.16,0.00,,,69.6,0.00,,,,0.00,13.92,,,
GARMENTS,,1.561,52.2,BD,,0,,,6110309100,,,FASHION COMP WHOLESA,FASHION COMP A/S,18,54.64,,GARMENTS,1.786,,1.561,6,,52.2,1,BD,,0,,,4000,106198292,6110309100,100,XI,0.00,273.85,,,52.2,0.00,,,,0.00,10.44,,,
GARMENTS,,7.007,252.3,BD,,0,,,6110309900,,,FASHION COMP WHOLESA,FASHION COMP A/S,19,264.1,,GARMENTS,7.978,,7.007,29,,252.3,1,BD,,0,,,4000,106198291,6110309900,100,XI,173.31,0.00,,,252.3,0.00,,,,0.00,50.46,,,
GARMENTS,,0.945,12.8,BD,,0,,,6114300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,20,13.4,,GARMENTS,1.055,,0.945,2,,12.8,1,BD,,0,,,4000,106198291,6114300000,100,XI,0.00,332.35,,,12.8,0.00,,,,0.00,2.56,,,
GARMENTS,,0.267,17.4,BD,,0,,,6201301099,,,FASHION COMP WHOLESA,FASHION COMP A/S,21,18.21,,GARMENTS,0.287,,0.267,1,,17.4,1,BD,,0,,,4000,106198292,6201301099,100,XI,0.00,317.89,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,2.507,38.4,BD,,0,,,6203423500,,,FASHION COMP WHOLESA,FASHION COMP A/S,22,40.2,,GARMENTS,2.627,,2.507,6,,38.4,1,BD,,0,,,4000,106198293,6203423500,100,XI,0.00,415.96,,,38.4,0.00,,,,0.00,7.68,,,
GARMENTS,,0.915,12,BD,,0,,,6203429000,,,FASHION COMP WHOLESA,FASHION COMP A/S,23,12.56,,GARMENTS,0.975,,0.915,3,,12,1,BD,,0,,,4000,106198293,6203429000,100,XI,106.89,0.00,,,12,0.00,,,,0.00,2.4,,,
GARMENTS,,0.942,12.8,BD,,0,,,6203491900,,,FASHION COMP WHOLESA,FASHION COMP A/S,24,13.4,,GARMENTS,0.982,,0.942,2,,12.8,1,BD,,0,,,4000,106198293,6203491900,100,XI,0.00,375.74,,,12.8,0.00,,,,0.00,2.56,,,
GARMENTS,,0.696,8,BD,,0,,,6203495000,,,FASHION COMP WHOLESA,FASHION COMP A/S,25,8.37,,GARMENTS,0.736,,0.696,2,,8,1,BD,,0,,,4000,106198293,6203495000,100,XI,235.50,0.00,,,8,0.00,,,,0.00,1.6,,,
GARMENTS,,4.047,60.8,BD,,0,,,6203499000,,,FASHION COMP WHOLESA,FASHION COMP A/S,26,63.64,,GARMENTS,4.355,,4.047,11,,60.8,1,BD,,0,,,4000,106198293,6203499000,100,XI,121.75,0.00,,,60.8,0.00,,,,0.00,12.16,,,
GARMENTS,,0.219,5.8,BD,,0,,,6204430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,27,6.07,,GARMENTS,0.239,,0.219,1,,5.8,1,BD,,0,,,4000,106198291,6204430000,100,XI,0.00,506.29,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.876,23.2,BD,,0,,,6204440090,,,FASHION COMP WHOLESA,FASHION COMP A/S,28,24.29,,GARMENTS,0.956,,0.876,4,,23.2,1,BD,,0,,,4000,106198291,6204440090,100,XI,0.00,428.66,,,23.2,0.00,,,,0.00,4.64,,,
GARMENTS,,0.36,8,BD,,0,,,6204520090,,,FASHION COMP WHOLESA,FASHION COMP A/S,29,8.37,,GARMENTS,0.4,,0.36,2,,8,1,BD,,0,,,4000,106198291,6204520090,100,XI,0.00,541.45,,,8,0.00,,,,0.00,1.6,,,
GARMENTS,,1.925,32,BD,,0,,,6204623990,,,FASHION COMP WHOLESA,FASHION COMP A/S,30,33.5,,GARMENTS,2.21,,1.925,5,,32,1,BD,,0,,,4000,106198291,6204623990,100,XI,117.21,0.00,,,32,0.00,,,,0.00,6.4,,,
GARMENTS,,0.247,6.4,BD,,0,,,6204691890,,,FASHION COMP WHOLESA,FASHION COMP A/S,31,6.7,,GARMENTS,0.3,,0.247,1,,6.4,1,BD,,0,,,4000,106198291,6204691890,100,XI,192.06,0.00,,,6.4,0.00,,,,0.00,1.28,,,
GARMENTS,,2.507,63,BD,,0,,,6205200090,,,FASHION COMP WHOLESA,FASHION COMP A/S,32,65.95,,GARMENTS,2.714,,2.507,9,,63,1,BD,,0,,,4000,106198292,6205200090,100,XI,146.91,0.00,,,63,0.00,,,,0.00,12.6,,,
GARMENTS,,2.242,84,BD,,0,,,6205300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,33,87.93,,GARMENTS,2.622,,2.242,12,,84,1,BD,,0,,,4000,106198293,6205300000,100,XI,185.52,0.00,,,84,0.00,,,,0.00,16.8,,,
GARMENTS,,1.616,56,BD,,0,,,6206300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,34,58.62,,GARMENTS,1.952,,1.616,8,,56,1,BD,,0,,,4000,106198291,6206300090,100,XI,0.00,229.01,,,56,0.00,,,,0.00,11.2,,,
GARMENTS,,1.298,29.7,BD,,0,,,6206400000,,,FASHION COMP WHOLESA,FASHION COMP A/S,35,31.09,,GARMENTS,1.478,,1.298,6,,29.7,1,BD,,0,,,4000,106198291,6206400000,100,XI,0.00,328.56,,,29.7,0.00,,,,0.00,5.94,,,
GARMENTS,,3.387,81.2,CN,,0,,,6104430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,36,85,,GARMENTS,3.667,,3.387,14,,81.2,1,CN,,0,,,4000,106198291,6104430000,100,XI,0.00,460.28,,,81.2,0.00,,,,0.00,16.24,,,
GARMENTS,,0.232,5.8,CN,,0,,,6104440000,,,FASHION COMP WHOLESA,FASHION COMP A/S,37,6.07,,GARMENTS,0.252,,0.232,1,,5.8,1,CN,,0,,,4000,106198291,6104440000,100,XI,265.52,0.00,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.559,12,CN,,0,,,6104530000,,,FASHION COMP WHOLESA,FASHION COMP A/S,38,12.56,,GARMENTS,0.619,,0.559,3,,12,1,CN,,0,,,4000,106198291,6104530000,100,XI,0.00,259.87,,,12,0.00,,,,0.00,2.4,,,
GARMENTS,,1.303,32,CN,,0,,,6104630000,,,FASHION COMP WHOLESA,FASHION COMP A/S,39,33.5,,GARMENTS,1.445,,1.303,5,,32,1,CN,,0,,,4000,106198291,6104630000,100,XI,169.06,0.00,,,32,0.00,,,,0.00,6.4,,,
